,prx,time (s),epc96
0,-31,29.007038,e280116060000205403de047
783,-32,29.031935,e280116060000205403e136b
1,-29,29.054412,e280116060000205403de047
784,-29,29.068777,e280116060000205403e136b
2,-30,29.092327,e280116060000205403de047
3,-31,29.105703,e280116060000205403de047
785,-31,29.130242,e280116060000205403e136b
4,-29,29.147751,e280116060000205403de047
786,-32,29.167528,e280116060000205403e136b
5,-31,29.188386,e280116060000205403de047
787,-30,29.20834,e280116060000205403e136b
6,-29,29.229741,e280116060000205403de047
788,-32,29.250377,e280116060000205403e136b
7,-31,29.270009,e280116060000205403de047
789,-32,29.288813,e280116060000205403e136b
8,-32,29.310913,e280116060000205403de047
790,-33,29.32667,e280116060000205403e136b
9,-32,29.350487,e280116060000205403de047
10,-31,29.364363,e280116060000205403de047
791,-30,29.388524,e280116060000205403e136b
792,-30,29.401664,e280116060000205403e136b
793,-30,29.426161,e280116060000205403e136b
794,-30,29.4384,e280116060000205403e136b
795,-30,29.464045,e280116060000205403e136b
11,-31,29.483626,e280116060000205403de047
796,-34,29.505509,e280116060000205403e136b
12,-31,29.520932,e280116060000205403de047
797,-34,29.546775,e280116060000205403e136b
13,-30,29.561163,e280116060000205403de047
14,-30,29.588053,e280116060000205403de047
15,-31,29.600337,e280116060000205403de047
798,-33,29.625257,e280116060000205403e136b
799,-33,29.644435,e280116060000205403e136b
800,-33,29.671335,e280116060000205403e136b
16,-30,29.685386,e280116060000205403de047
17,-30,29.709716,e280116060000205403de047
801,-32,29.725952,e280116060000205403e136b
18,-31,29.747392,e280116060000205403de047
802,-34,29.767201,e280116060000205403e136b
19,-31,29.784509,e280116060000205403de047
803,-34,29.808928,e280116060000205403e136b
804,-31,29.822868,e280116060000205403e136b
20,-30,29.847003,e280116060000205403de047
805,-32,29.868094,e280116060000205403e136b
21,-31,29.890015,e280116060000205403de047
806,-30,29.905121,e280116060000205403e136b
22,-29,29.929026,e280116060000205403de047
807,-31,29.943063,e280116060000205403e136b
23,-30,29.970454,e280116060000205403de047
808,-32,29.985153,e280116060000205403e136b
24,-31,30.009761,e280116060000205403de047
809,-33,30.023989,e280116060000205403e136b
25,-31,30.047346,e280116060000205403de047
810,-33,30.071622,e280116060000205403e136b
811,-32,30.084951,e280116060000205403e136b
26,-32,30.109644,e280116060000205403de047
812,-34,30.122854,e280116060000205403e136b
27,-29,30.147656,e280116060000205403de047
813,-32,30.162321,e280116060000205403e136b
28,-30,30.189706,e280116060000205403de047
814,-32,30.203587,e280116060000205403e136b
29,-32,30.228356,e280116060000205403de047
815,-32,30.251028,e280116060000205403e136b
30,-29,30.276291,e280116060000205403de047
816,-31,30.292168,e280116060000205403e136b
31,-30,30.317785,e280116060000205403de047
32,-29,30.331361,e280116060000205403de047
817,-30,30.355039,e280116060000205403e136b
33,-30,30.369374,e280116060000205403de047
34,-32,30.394325,e280116060000205403de047
818,-33,30.408009,e280116060000205403e136b
35,-29,30.433979,e280116060000205403de047
819,-31,30.454584,e280116060000205403e136b
36,-30,30.470413,e280116060000205403de047
820,-31,30.493108,e280116060000205403e136b
37,-29,30.512658,e280116060000205403de047
821,-30,30.534662,e280116060000205403e136b
38,-29,30.549877,e280116060000205403de047
822,-29,30.572752,e280116060000205403e136b
39,-31,30.589664,e280116060000205403de047
823,-34,30.613383,e280116060000205403e136b
40,-30,30.627543,e280116060000205403de047
41,-30,30.654096,e280116060000205403de047
824,-30,30.673429,e280116060000205403e136b
42,-30,30.69599,e280116060000205403de047
825,-31,30.710988,e280116060000205403e136b
826,-31,30.735299,e280116060000205403e136b
43,-31,30.750252,e280116060000205403de047
827,-29,30.773766,e280116060000205403e136b
44,-29,30.788024,e280116060000205403de047
828,-29,30.811289,e280116060000205403e136b
45,-29,30.825378,e280116060000205403de047
829,-29,30.849932,e280116060000205403e136b
46,-29,30.862612,e280116060000205403de047
830,-31,30.886569,e280116060000205403e136b
47,-31,30.906677,e280116060000205403de047
831,-31,30.922751,e280116060000205403e136b
48,-32,30.943916,e280116060000205403de047
832,-31,30.959784,e280116060000205403e136b
49,-29,30.981537,e280116060000205403de047
833,-29,30.996532,e280116060000205403e136b
50,-30,31.018819,e280116060000205403de047
834,-30,31.036189,e280116060000205403e136b
51,-32,31.05566,e280116060000205403de047
835,-31,31.078987,e280116060000205403e136b
52,-32,31.100493,e280116060000205403de047
836,-31,31.11824,e280116060000205403e136b
53,-32,31.13907,e280116060000205403de047
837,-31,31.159071,e280116060000205403e136b
54,-29,31.180752,e280116060000205403de047
838,-30,31.200079,e280116060000205403e136b
55,-33,31.221569,e280116060000205403de047
839,-32,31.240954,e280116060000205403e136b
56,-34,31.261058,e280116060000205403de047
840,-34,31.287919,e280116060000205403e136b
57,-32,31.304152,e280116060000205403de047
841,-34,31.325322,e280116060000205403e136b
